Situation,emotion,empathetic_dialogues
the boy in the striped pijamas bumbed me out ,sad,"Customer :I've never seen that but I love a good tear jerker!
Agent :"
the boy in the striped pijamas bumbed me out ,sad,"Customer :I'll have to check it out this weekend. Anything about the holocaust makes me cry.
Agent :"
I was in a roomful of people but felt like I was by myself.,lonely,"Customer :I was in a roomful of people but felt like I was by myself
Agent :"
I was in a roomful of people but felt like I was by myself.,lonely,"Customer :No I'm fine now. But at the time it seemed like no one else was there.
Agent :"
I was in a roomful of people but felt like I was by myself.,lonely,"Customer :I hate that feeling. Are you still feeling that way now?
Agent :"
My son got his driver license today! He studied so hard for the test!,proud,"Customer :My son got his drivers license today!
Agent :"
My son got his driver license today! He studied so hard for the test!,proud,"Customer :It's good, he studied hard and did a great job but now I feel old.
Agent :"
My son got his driver license today! He studied so hard for the test!,proud,"Customer :OH no. Is that a good thing?
Agent :"
I made the Dean's list again this year. I worked very hard to get it.,proud,"Customer :I made the Dean's List this year
Agent :"
I made the Dean's list again this year. I worked very hard to get it.,proud,"Customer :I did, I worked really hard all year long and made lots of sacrifices
Agent :"
I made the Dean's list again this year. I worked very hard to get it.,proud,"Customer :Wow, nice! Congratulations that. You must have worked hard.
Agent :"
"A good co-worker friend is leaving the company, so I am bummed about it.",sad,"Customer :I'm feeling a bit bummed out since a good friend/co-worker is leaving our company soon.
Agent :"
"A good co-worker friend is leaving the company, so I am bummed about it.",sad,"Customer :Not exactly, but I do plan on taking them out to a nice dinner.
Agent :"
"A good co-worker friend is leaving the company, so I am bummed about it.",sad,"Customer :That's sad, are you throwing them a going away party?
Agent :"
I am so happy I can afford every my kids and I need. I wish we could splurge more often though.,grateful,"Customer :I feel blessed that I can take care of my kids myself without struggling
Agent :"
I am so happy I can afford every my kids and I need. I wish we could splurge more often though.,grateful,"Customer :I still work hard. I just wish I could splurge sometimes. Thats the only thing
Agent :"
I am so happy I can afford every my kids and I need. I wish we could splurge more often though.,grateful,"Customer :That's because you worked hard and never gave up! I'm proud of you!
Agent :"
I am so happy I can afford every my kids and I need. I wish we could splurge more often though.,grateful,"Customer :One day you'll be able to. Just keep your head up!
Agent :"
I get so sad watching st jude commercials. I always watch them though.,sad,"Customer :St Juse commercials make me so sad
Agent :"
I get so sad watching st jude commercials. I always watch them though.,sad,"Customer :I know. All kids deserve a happy and healthy childhood. It breaks my heart.
Agent :"
I get so sad watching st jude commercials. I always watch them though.,sad,"Customer :They make me sad too. I wish I could heal all those sick kids.
Agent :"
I get so sad watching st jude commercials. I always watch them though.,sad,"Customer :It makes me feel better knowing that they get such great care at St Jude's and the parents never get a bill though.
Agent :"
I am doing so well.  I can't believe I made it working and going to school during the summer,proud,"Customer :I did so well this summer. I have to pat myself on the back
Agent :"
I am doing so well.  I can't believe I made it working and going to school during the summer,proud,"Customer :In your jeans you did?
Agent :"
I am watching black sheep. I used to watch this movie with my cousins all the time,nostalgic,"Customer :I am wathcing the movie blackk sheep
Agent :"
I am watching black sheep. I used to watch this movie with my cousins all the time,nostalgic,"Customer :ITs an old movie with david spade and chris farley. Iused to watch it with my cousins when I was little
Agent :"
I am watching black sheep. I used to watch this movie with my cousins all the time,nostalgic,"Customer :I have never seen a movie before
Agent :"
I am watching black sheep. I used to watch this movie with my cousins all the time,nostalgic,"Customer :I wish one day i could see it.
Agent :"
I could break my bones at any time!,apprehensive,"Customer :I could break my bones at any time!
Agent :"
I could break my bones at any time!,apprehensive,"Customer :They are very brital
Agent :"
I could break my bones at any time!,apprehensive,"Customer :Why is that?
Agent :"
My fiancee brought me dinner while I was stuck at work late last night. I was so happy.,grateful,"Customer :I got stuck working late last night, but my fiancee came by and dropped off some dinner for me. 
Agent :"
My fiancee brought me dinner while I was stuck at work late last night. I was so happy.,grateful,"Customer :No, she had already eaten, but I was very happy she did that. It really helped me out.
Agent :"
My fiancee brought me dinner while I was stuck at work late last night. I was so happy.,grateful,"Customer :That was sweet. Did you eat together?
Agent :"
"my mom was always working, i was alone alot.",lonely,"Customer :my mother worked alot as a kid, i had some pretty cool babysitters though.
Agent :"
"my mom was always working, i was alone alot.",lonely,"Customer :I didnt mind, the always gave me alot of food.
Agent :"
"my mom was always working, i was alone alot.",lonely,"Customer :Well thats a positive spin
Agent :"
I stare at my kids while they are alseep. Thats when they are on their best behavior,sentimental,"Customer :MY kids are on their best behavior when they are asleep
Agent :"
I stare at my kids while they are alseep. Thats when they are on their best behavior,sentimental,"Customer :They are terrible. Wait and see 
Agent :"
I stare at my kids while they are alseep. Thats when they are on their best behavior,sentimental,"Customer :I wish i had kids.
Agent :"
I was relieved to find my sack lunch.,grateful,"Customer :i was about to buy food when I remembered that I packed a lunch!
Agent :"
I was relieved to find my sack lunch.,grateful,"Customer :Yes! Plus I can pull it out and eat it whenever I want too.
Agent :"
I was relieved to find my sack lunch.,grateful,"Customer :Packing lunch saves money
Agent :"
I am glad I stuck with my job. I knew my supervisor would last for long,proud,"Customer :I am glad I didnt quit my job last month
Agent :"
I am glad I stuck with my job. I knew my supervisor would last for long,proud,"Customer :MY supervisor was fired and now its better
Agent :"
I am glad I stuck with my job. I knew my supervisor would last for long,proud,"Customer :Yes! I always regret when I impulse quit a job.
Agent :"
I am glad I stuck with my job. I knew my supervisor would last for long,proud,"Customer :Yes! was he a bad boss?
Agent :"
When I was looking at baby pictures of my family.,sentimental,"Customer :I was going through old photos just missing the past.
Agent :"
When I was looking at baby pictures of my family.,sentimental,"Customer :Thats probably smart, I was looking at this big old photo album.
Agent :"
When I was looking at baby pictures of my family.,sentimental,"Customer :I keep all my photos online.
Agent :"
My little brother baseball team won the whole tournament!,proud,"Customer :My little brothers team were the campions, I couldnt believe it
Agent :"
My little brother baseball team won the whole tournament!,proud,"Customer :He is just a little baseball player now, But I have high hopes for him
Agent :"
My little brother baseball team won the whole tournament!,proud,"Customer :Good for him. What sport do they play and was it any of that state level competitions?
Agent :"
Looking through my old picture albums really had me thinking of the past. It made me reminisce about the days gone by. ,nostalgic,"Customer :Looking through my old picture albums really had me thinking of the past. It made me reminisce about the days gone by.
Agent :"
Looking through my old picture albums really had me thinking of the past. It made me reminisce about the days gone by. ,nostalgic,"Customer :Seems like in the blink of an eye sometimes.
Agent :"
Looking through my old picture albums really had me thinking of the past. It made me reminisce about the days gone by. ,nostalgic,"Customer :Yes, Life moves so fast its truly hard to believe some times.
Agent :"
My dad gave me this gold necklace a while ago. I love it and wear it everyday.,sentimental,"Customer :I really like the gold necklace that my dad gave me.
Agent :"
My dad gave me this gold necklace a while ago. I love it and wear it everyday.,sentimental,"Customer :Yeah it was for my birthday. I wear it everyday now.
Agent :"
My dad gave me this gold necklace a while ago. I love it and wear it everyday.,sentimental,"Customer :Awe that is sweet, was it a special occasion?
Agent :"
My friend had to cancel plans the other day,sad,"Customer :My friend had to cancel plans the other day which was saddening
Agent :"
My friend had to cancel plans the other day,sad,"Customer :we were just going to chill but he had issues come up
Agent :"
My friend had to cancel plans the other day,sad,"Customer :that is not cool, what where you guys planning to do
Agent :"
I moved to a new city. I have no friends here.,lonely,"Customer :I moved to a new city. I have no friends here.
Agent :"
I moved to a new city. I have no friends here.,lonely,"Customer :I know the feeling. I wish I knew where to go meet people in my new city.
Agent :"
I moved to a new city. I have no friends here.,lonely,"Customer :I have no friend at all.
Agent :"
I am so glad I woke up every day.,grateful,"Customer :I am so glad that I wake up every day!
Agent :"
I am so glad I woke up every day.,grateful,"Customer :I agree, and I have to wake up every day because god love me.
Agent :"
I am so glad I woke up every day.,grateful,"Customer :Yes! life is a blessing, and we need to make the most of every day.
Agent :"
I am sitting alone in my apartment. I had a friend over earlier but now I am all alone.,lonely,"Customer :I am so bored right now.
Agent :"
I am sitting alone in my apartment. I had a friend over earlier but now I am all alone.,lonely,"Customer :I don't have any electricity anymore :(
Agent :"
I am sitting alone in my apartment. I had a friend over earlier but now I am all alone.,lonely,"Customer :Maybe try and watch tv or play games.
Agent :"
I am sitting alone in my apartment. I had a friend over earlier but now I am all alone.,lonely,"Customer :Maybe go outside and try and eat dirt.
Agent :"
I keep every penny I find because I know my grandmother sent them from heaven.,sentimental,"Customer :I keep every penny i find because I know my grandmother sent them from heaven.
Agent :"
I keep every penny I find because I know my grandmother sent them from heaven.,sentimental,"Customer :One day, my kids will cash in the pennys to buy my land spot next to my family.
Agent :"
I keep every penny I find because I know my grandmother sent them from heaven.,sentimental,"Customer :that is the most beautiful thing ive ever heard
Agent :"
when my dog died,lonely,"Customer :the house has been so empty and quiet since my dog passesd last week.
Agent :"
when my dog died,lonely,"Customer :it has been hard. he was always here waiting for me to get home 
Agent :"
when my dog died,lonely,"Customer :I would cry if anyone i know died.
Agent :"
I am upset I didn't get my scholarship.,sad,"Customer :I am upset I didn't get my scholarship.
Agent :"
I am upset I didn't get my scholarship.,sad,"Customer :I will attend the local community college.
Agent :"
I am upset I didn't get my scholarship.,sad,"Customer :I'm sorry to hear that. What will you do now?
Agent :"
I am very proud of the pizza I made last night. It was a detroit style. Lovely.,proud,"Customer :I made an amazing pizza last night.
Agent :"
I am very proud of the pizza I made last night. It was a detroit style. Lovely.,proud,"Customer :It was just cheese and tomato, but it was Detroit style - so it had a cheesy chewy crust and teh sauce is on top of the cheese. I was really impressed with myself!
Agent :"
I am very proud of the pizza I made last night. It was a detroit style. Lovely.,proud,"Customer :What kind of pizza was it?
Agent :"
I am very proud of the pizza I made last night. It was a detroit style. Lovely.,proud,"Customer :I prefer New York style pizza.
Agent :"
First grade was great for me.,nostalgic,"Customer :First grade was great for me.
Agent :"
First grade was great for me.,nostalgic,"Customer :It made me into the person I was today.
Agent :"
First grade was great for me.,nostalgic,"Customer :Yeah? Why was that?
Agent :"
I cried when I found out my uncle passed away.,sad,"Customer :I cried when I found out my uncle passed away.
Agent :"
I cried when I found out my uncle passed away.,sad,"Customer :Yes, he wasn't that old. Only 53 years old.
Agent :"
I cried when I found out my uncle passed away.,sad,"Customer :oh wow that is horrible, im sorry for your loss
Agent :"
I feel hopful that I will get a new job soon.,hopeful,"Customer :I'm hoping to find a new job as soon as possible
Agent :"
I feel hopful that I will get a new job soon.,hopeful,"Customer :I was a Realtime Manager in a contact center.
Agent :"
I feel hopful that I will get a new job soon.,hopeful,"Customer :What was your last job then?
Agent :"
I feel hopful that I will get a new job soon.,hopeful,"Customer :Sounds like an interesting job. I hope you get that job that you're looking for.
Agent :"
I got asked if I wanted to go to this party in a shady part of town. I went anyway and it was a great time!,apprehensive,"Customer :I got asked if I wanted to go to this party, but it was in a really shady part of town.
Agent :"
I got asked if I wanted to go to this party in a shady part of town. I went anyway and it was a great time!,apprehensive,"Customer :I ended up going with some friends and it was great either way.
Agent :"
I got asked if I wanted to go to this party in a shady part of town. I went anyway and it was a great time!,apprehensive,"Customer :Was it with close friends?
Agent :"
I just reconnected with a cousin of mine I used to hang out with when I was younger.,sentimental,"Customer :I just reconnected with a cousin of mine after many years. It's been nice talking to him.
Agent :"
I just reconnected with a cousin of mine I used to hang out with when I was younger.,sentimental,"Customer :Yes, we used to hang out all the time! 
Agent :"
I just reconnected with a cousin of mine I used to hang out with when I was younger.,sentimental,"Customer :Amazing! Were you close when you were young?
Agent :"
I felt sad when I watched a show last night. It was about school shootings in Texas.,sad,"Customer :I was watching a show last night about the shooting at PArklands school in Texas a few months ago.
Agent :"
I felt sad when I watched a show last night. It was about school shootings in Texas.,sad,"Customer :It was very sad. But focussed on the gun control debate.
Agent :"
I felt sad when I watched a show last night. It was about school shootings in Texas.,sad,"Customer :I see. How was the show?
Agent :"
I felt sad when I watched a show last night. It was about school shootings in Texas.,sad,"Customer :It sounds like an important film. I love watching documentaries.
Agent :"
I thanked my friend for buying m e customized pen ,grateful,"Customer :The pen is really lovely
Agent :"
I thanked my friend for buying m e customized pen ,grateful,"Customer :writing pen
Agent :"
I thanked my friend for buying m e customized pen ,grateful,"Customer :What kind of pen are you talking about?
Agent :"
I made an amazing pizza yesterday. Iwas very proud of it.,proud,"Customer :I made a briliant pizza yesterday
Agent :"
I made an amazing pizza yesterday. Iwas very proud of it.,proud,"Customer :Just by myself. I often make it - but this turned out realy good.
Agent :"
I made an amazing pizza yesterday. Iwas very proud of it.,proud,"Customer :I love pizza. Did you make it by yourself or with friends?
Agent :"
I made an amazing pizza yesterday. Iwas very proud of it.,proud,"Customer :Were you the only one who are it?
Agent :"
Sometimes I feel lonely. I am single and live alone.,lonely,"Customer :Sometimes I feel lonely.
Agent :"
Sometimes I feel lonely. I am single and live alone.,lonely,"Customer :My best friend has moved to New Zealand and my family is quite far away
Agent :"
Sometimes I feel lonely. I am single and live alone.,lonely,"Customer :why is that?
Agent :"
Sometimes I feel lonely. I am single and live alone.,lonely,"Customer :wow. i would also fee sad
Agent :"
I am confident Donald Trump will Make America Great Again.,hopeful,"Customer :I am confident Donald Trump will Make America Great Again.
Agent :"
I am confident Donald Trump will Make America Great Again.,hopeful,"Customer :I am not one of them. The economy is doing great and unemployment is at an all time low.
Agent :"
I am confident Donald Trump will Make America Great Again.,hopeful,"Customer :Really? Lot's of people seem to disagree with that
Agent :"
when my dog died,sad,"Customer :i was devistated my my dog sammy died last week
Agent :"
when my dog died,sad,"Customer :he was 13..he was an old man..he died of old age
Agent :"
when my dog died,sad,"Customer :How old was sammy?
Agent :"
I cried when I heard Top Gun 2 was being made.,sad,"Customer :I cried when I heard Top Gun 2 was being made.
Agent :"
I cried when I heard Top Gun 2 was being made.,sad,"Customer :No, sadness. I know it won't be good and will ruin the first movie.
Agent :"
I cried when I heard Top Gun 2 was being made.,sad,"Customer :Really? Why? Out of happiness?
Agent :"
I'm really feeling good about my work evaluations and wishing for the best.,hopeful,"Customer :I'm feeling good about some upcoming work events.
Agent :"
I'm really feeling good about my work evaluations and wishing for the best.,hopeful,"Customer :I'm in education administration. It's not the most exciting thing, but I enjoy it.
Agent :"
I'm really feeling good about my work evaluations and wishing for the best.,hopeful,"Customer :Yeah - what kind of work do you do?
Agent :"
my friend died,sad,"Customer :its been a hard week. my childhood best friend died
Agent :"
my friend died,sad,"Customer :ive been a mess.but ok
Agent :"
my friend died,sad,"Customer :OH no! I'm sorry to hear that. Are you alright?
Agent :"
I was proud of a pizza I made yesterday,proud,"Customer :I made a great pizza last night
Agent :"
I was proud of a pizza I made yesterday,proud,"Customer :Absolutely! I'm a legend!
Agent :"
I was proud of a pizza I made yesterday,proud,"Customer :Hm delicious. Do you feel proud of yourself?! 
Agent :"
I was proud of a pizza I made yesterday,proud,"Customer :Good work. Make some for me too!
Agent :"
I was proud of a pizza I made yesterday,proud,"Customer :I made a great pizza last night
Agent :"
I was proud of a pizza I made yesterday,proud,"Customer :Amazing!
Agent :"
I was proud of a pizza I made yesterday,proud,"Customer :how did it come out?
Agent :"
I was proud of a pizza I made yesterday,proud,"Customer :what did you put on it?
Agent :"
No one came to my marriage.,lonely,"Customer :No one came to my marriage party last month.
Agent :"
No one came to my marriage.,lonely,"Customer :I don't know, Maybe they didn't like me. i felt really lonely that day.
Agent :"
No one came to my marriage.,lonely,"Customer :Really? No-one? Why not?
Agent :"
I was grateful when my friend paid me back moeny I owed him,grateful,"Customer :My friend just paid me back money he owed me
Agent :"
I was grateful when my friend paid me back moeny I owed him,grateful,"Customer :Yes. I'm very grateful
Agent :"
I was grateful when my friend paid me back moeny I owed him,grateful,"Customer :oh thats a good friend
Agent :"
moving to a new town not knowing anyone,lonely,"Customer :i just moved to a new state i dont know anyone and have been pretty down
Agent :"
moving to a new town not knowing anyone,lonely,"Customer :i just started looking online to see what is in  my area
Agent :"
moving to a new town not knowing anyone,lonely,"Customer :You must be feeling kinda lonely. Have you tried joining any meetup groups?
Agent :"
Why don't I have a woman by my side at 46? ,lonely,"Customer :Why don't I have a woman by my side at 46?
Agent :"
Why don't I have a woman by my side at 46? ,lonely,"Customer :Yes I am buddy. I hope the loneliness does not kill me 
Agent :"
Why don't I have a woman by my side at 46? ,lonely,"Customer :I can't answer that! You seem lonely.
Agent :"
I was thankful for the job i was offered,grateful,"Customer :I was thankful for the job i was offered
Agent :"
I was thankful for the job i was offered,grateful,"Customer :probation officer
Agent :"
I was thankful for the job i was offered,grateful,"Customer :Yeah? - whats the job?
Agent :"
I was watching a show last night. It was about a school shooting in texas.,sad,"Customer :I was watching a show about school shootings in Texas last night
Agent :"
I was watching a show last night. It was about a school shooting in texas.,sad,"Customer :It was on BBC Iplayer. It was quite upsetting.
Agent :"
I was watching a show last night. It was about a school shooting in texas.,sad,"Customer :i must have missed that one
Agent :"
Today is my last day working. I am going to miss my coworkers.,sad,"Customer :Today is my last day working. I am going to miss my coworkers
Agent :"
Today is my last day working. I am going to miss my coworkers.,sad,"Customer :No I am going to give this whole stay at home mom thing a shot
Agent :"
Today is my last day working. I am going to miss my coworkers.,sad,"Customer :Do you have a new job?
Agent :"
I found it difficult to throw away my old cutlery collection.,sentimental,"Customer :I am finding it difficult to throw away my old, antique cutlery collection.
Agent :"
I found it difficult to throw away my old cutlery collection.,sentimental,"Customer :I guess I am just sentimentally attached to it
Agent :"
I found it difficult to throw away my old cutlery collection.,sentimental,"Customer :Why is that?
Agent :"
I had a difficult job interview. I need a new job as I am unemployed.,apprehensive,"Customer :I had a difficult job interview this week.
Agent :"
I had a difficult job interview. I need a new job as I am unemployed.,apprehensive,"Customer :Fingers crossed then.
Agent :"
I had a difficult job interview. I need a new job as I am unemployed.,apprehensive,"Customer :don't think about it, what is done is done, just anticipate that they will call you back, the universe have it's way of helping if we believe 
Agent :"
I felt so bored last weekend,lonely,"Customer :I was home alone
Agent :"
I felt so bored last weekend,lonely,"Customer :No. I only need a girl friend 
Agent :"
I felt so bored last weekend,lonely,"Customer :did something happen?
Agent :"
I felt so bored last weekend,lonely,"Customer :makes sense.
Agent :"
I had to go on a business trip... I miss my family!,lonely,"Customer :I had to go on a business trip... I miss my family!
Agent :"
I had to go on a business trip... I miss my family!,lonely,"Customer :Yes we did.. It was the first time away from my daughter
Agent :"
I had to go on a business trip... I miss my family!,lonely,"Customer :I think skyping or video chatting with them everyday will help 
Agent :"
My son got a scholarship for college.,proud,"Customer :I just found out my son got a fully funded scholarship for college.
Agent :"
My son got a scholarship for college.,proud,"Customer :Thanks. I am really proud of him that he managed to do that!
Agent :"
My son got a scholarship for college.,proud,"Customer :Really? Congrats 
Agent :"
I applied for a different position at work.... I'm eager to hear back,hopeful,"Customer :I applied for a different position at work.... I'm eager to hear back
Agent :"
I applied for a different position at work.... I'm eager to hear back,hopeful,"Customer :I think so, I was encouraged to do so by my manager
Agent :"
I applied for a different position at work.... I'm eager to hear back,hopeful,"Customer :Do you think you might get it?
Agent :"
"Last month, I had to give a presentation at a big research convention. I was really nervous!",apprehensive,"Customer :I had to give a presentation at a big convention last month. I'm not used to presenting and I was really nervous!
Agent :"
"Last month, I had to give a presentation at a big research convention. I was really nervous!",apprehensive,"Customer :It turned out all right. But my stomach was in knots the whole time.
Agent :"
"Last month, I had to give a presentation at a big research convention. I was really nervous!",apprehensive,"Customer :How did it go than?
Agent :"
I have no friends at my new job.,lonely,"Customer :I have zero friends at my new job and I don't know what to do about it!
Agent :"
I have no friends at my new job.,lonely,"Customer :Yes, and i eat lunch alone every day for a week. I feel extremely lonely! 
Agent :"
I have no friends at my new job.,lonely,"Customer :did you just start the job?
Agent :"
I am very thankful to be alive today,grateful,"Customer :i had a crash
Agent :"
I am very thankful to be alive today,grateful,"Customer :Thanks
Agent :"
I am very thankful to be alive today,grateful,"Customer :Ouch, I am sorry to hear that. I hope you are ok?
Agent :"
I feel extremely happy about my wife's promotion,proud,"Customer :I feel extremely happy about my wife's promotion
Agent :"
I feel extremely happy about my wife's promotion,proud,"Customer :Yes I am she does better than her male counterparts 
Agent :"
I feel extremely happy about my wife's promotion,proud,"Customer :that's great! it's good to be supportive of your partner
Agent :"
i was hoping to win the lottery last night,hopeful,"Customer :i was hoping to win the lottery last night
Agent :"
i was hoping to win the lottery last night,hopeful,"Customer :nope :(
Agent :"
i was hoping to win the lottery last night,hopeful,"Customer :And did you?
Agent :"
I knew i shouldnt have trusted my brother with my dog!,lonely,"Customer :i knew i shouldnt have trusted my brother with my dog!
Agent :"
I knew i shouldnt have trusted my brother with my dog!,lonely,"Customer :ran away
Agent :"
I knew i shouldnt have trusted my brother with my dog!,lonely,"Customer :Oh no, what happened to your dog?
Agent :"
I received my quaterly bonus at work... it came at the perfect time!,grateful,"Customer :I received my quarterly bonus at work, it came at the perfect time!
Agent :"
I received my quaterly bonus at work... it came at the perfect time!,grateful,"Customer :Yes, have to replace tires on car
Agent :"
I received my quaterly bonus at work... it came at the perfect time!,grateful,"Customer :did an unexpected expense come up?
Agent :"
parent passed awy,sad,"Customer :my mother passed away 3 days ago
Agent :"
parent passed awy,sad,"Customer :i am not too good, but staying strong for the family
Agent :"
parent passed awy,sad,"Customer :I am so deeply sorry! how are you holding up?
Agent :"
I pass my driving test and knew I would never have to take lessons again! ,grateful,"Customer :I passed my driving test, I never have to take another lesson again!
Agent :"
I pass my driving test and knew I would never have to take lessons again! ,grateful,"Customer :I'm over the moon, can't wait to tell everyone!
Agent :"
I pass my driving test and knew I would never have to take lessons again! ,grateful,"Customer :Good job! You must feel so proud of yourself! 
Agent :"
I pass my driving test and knew I would never have to take lessons again! ,grateful,"Customer :You should go out for dinner and celebrate!
Agent :"
I am finding it difficult to sell my old car.,sentimental,"Customer :I am finding it really difficult to sell my old, vintage car.
Agent :"
I am finding it difficult to sell my old car.,sentimental,"Customer :I think its because I am sentimentally attached to it! It belonged to my late grandfather.
Agent :"
I am finding it difficult to sell my old car.,sentimental,"Customer :Why is that?
Agent :"
"My husband had to go out of town for work, I already miss him!",lonely,"Customer :My husband had to go out of town for work, I already miss him!
Agent :"
"My husband had to go out of town for work, I already miss him!",lonely,"Customer :4 days... I just don't like being home alone at night
Agent :"
"My husband had to go out of town for work, I already miss him!",lonely,"Customer :I bet.  How long will he be gone?
Agent :"
My neighbor grabbed my dog that was running in the street.  I am very thankful they did that.,grateful,"Customer :My neighbor grabbed my dog that was running in the street.
Agent :"
My neighbor grabbed my dog that was running in the street.  I am very thankful they did that.,grateful,"Customer :Yes, I am so thankful they did that.
Agent :"
My neighbor grabbed my dog that was running in the street.  I am very thankful they did that.,grateful,"Customer :im glad the pupper was returned
Agent :"
I woke up to something quite terrible this morning.  My vegetable garden has been ravaged through by some strange animal.,sad,"Customer :I woke up this morning only to find out that some wild animal had destroyed my garden!
Agent :"
I woke up to something quite terrible this morning.  My vegetable garden has been ravaged through by some strange animal.,sad,"Customer :Unfortunately, no.  I am sad in some ways but happy the wild creature had a full meal last night.
Agent :"
I woke up to something quite terrible this morning.  My vegetable garden has been ravaged through by some strange animal.,sad,"Customer :oh no, did you catch them?
Agent :"
My dog is having surgery on his leg.  I am confident he will recover.,hopeful,"Customer :My dog is having surgery on his leg.
Agent :"
My dog is having surgery on his leg.  I am confident he will recover.,hopeful,"Customer :I am confident he will recover.
Agent :"
My dog is having surgery on his leg.  I am confident he will recover.,hopeful,"Customer :Oh poor dog! I hope he is okay!
Agent :"
I received a late birthday gift from a friend and it was exactly what I needed,grateful,"Customer :I received a late birthday gift from a friend and it was exactly what I needed
Agent :"
I received a late birthday gift from a friend and it was exactly what I needed,grateful,"Customer :Yes I can't wait to shop this weekend
Agent :"
I received a late birthday gift from a friend and it was exactly what I needed,grateful,"Customer :That is very nice of your friend.
Agent :"
I ate dinner by myself again.  I hate being by myself all the time.,lonely,"Customer :I ate dinner by myself again.
Agent :"
I ate dinner by myself again.  I hate being by myself all the time.,lonely,"Customer :I hate being by myself all the time.
Agent :"
I ate dinner by myself again.  I hate being by myself all the time.,lonely,"Customer :Oh no, I'm sorry to hear that
Agent :"
I was walking by my old house.,nostalgic,"Customer :Yesterday I took a trip down the memory lane when I walked by my old house and street.
Agent :"
I was walking by my old house.,nostalgic,"Customer :Yep, I felt so nostalgic thinking of all the good memories I had as a kid.
Agent :"
I was walking by my old house.,nostalgic,"Customer :I bet that must have taken you back to the good old days?
Agent :"
I remember when a Whopper was 99 cents.  Those were the good old days.,nostalgic,"Customer :I remember when a Whopper was 99 cents.
Agent :"
I remember when a Whopper was 99 cents.  Those were the good old days.,nostalgic,"Customer :Yes, those were the good old days!
Agent :"
I remember when a Whopper was 99 cents.  Those were the good old days.,nostalgic,"Customer :those were the days!
Agent :"
My coworkers threw me a birthday party.  I am so thankful for that.,grateful,"Customer :My coworkers threw me a birthday party.
Agent :"
My coworkers threw me a birthday party.  I am so thankful for that.,grateful,"Customer :Yes, I am so thankful for that.
Agent :"
My coworkers threw me a birthday party.  I am so thankful for that.,grateful,"Customer :those are some good coworkers!
Agent :"
I felt sad yesterday. At work our computer systems went down and customers were mad,sad,"Customer :Well it started off I was unable to check people in. The IT people are very slow at fixing the issue.
Agent :"
I felt sad yesterday. At work our computer systems went down and customers were mad,sad,"Customer :Yes I was cursed twice and almost had a fight! 
Agent :"
I felt sad yesterday. At work our computer systems went down and customers were mad,sad,"Customer :Oh man, where customers upset with you?
Agent :"
I felt sad yesterday. At work our computer systems went down and customers were mad,sad,"Customer :Sucks how customers blame employees like it's their fault
Agent :"
There was a test that I needed to pass in order to graduate college. I was having so much trouble understanding the subject and really didn't feel like I could do it on my own. My sister sat down with me and really went over the whole thing allowing me to finally understand it and get a great grade on the test!,grateful,"Customer :I had to take a test in order to graduate college but I really didn't understand the subject at all and couldn't get anywhere studying on my own. After a lot of agony my sister sat down with me and went over it in detail. She really helped me to learn and understand it. Thanks to her I got a great score on the test!
Agent :"
There was a test that I needed to pass in order to graduate college. I was having so much trouble understanding the subject and really didn't feel like I could do it on my own. My sister sat down with me and really went over the whole thing allowing me to finally understand it and get a great grade on the test!,grateful,"Customer :I thought so. I really am so happy with her. Do you think I should do something nice for her in return?
Agent :"
There was a test that I needed to pass in order to graduate college. I was having so much trouble understanding the subject and really didn't feel like I could do it on my own. My sister sat down with me and really went over the whole thing allowing me to finally understand it and get a great grade on the test!,grateful,"Customer :That is very nice of your sister!
Agent :"
i didnt win the lotto,sad,"Customer :i came home today with my state jackpot tickets. i didnt win
Agent :"
i didnt win the lotto,sad,"Customer :very disappointing! not just a little!!
Agent :"
i didnt win the lotto,sad,"Customer :Aww that had to be a little disappointing?
Agent :"
Living in the house I grew up in means so much to me.,sentimental,"Customer :As an adult, buying and living in the house I grew up in means so much to me.
Agent :"
Living in the house I grew up in means so much to me.,sentimental,"Customer :Thank you, it
Agent :"
Living in the house I grew up in means so much to me.,sentimental,"Customer :I am so happy for you!
Agent :"
I remember getting ice cream with my family.  I miss that time so much.,nostalgic,"Customer :I remember getting ice cream with my family.
Agent :"
I remember getting ice cream with my family.  I miss that time so much.,nostalgic,"Customer :Yes, I miss that time so much!
Agent :"
I remember getting ice cream with my family.  I miss that time so much.,nostalgic,"Customer :As a kid? That's the best!
Agent :"
My grandson just graduated high school. He was developmentally slow so we were amazed that he actaully graduated a year early!,proud,"Customer :I have a grandson who was born a bit slow. He just graduated high school this year. What was really amazing is that he graduated a year early!
Agent :"
My grandson just graduated high school. He was developmentally slow so we were amazed that he actaully graduated a year early!,proud,"Customer :Yes we really are. He is already taking summer courses at the community college. He wants to transfer to the big university as soon as he can though.
Agent :"
My grandson just graduated high school. He was developmentally slow so we were amazed that he actaully graduated a year early!,proud,"Customer :You must be so proud. That really is a great accomplishment that he has made. Is he going to college?
Agent :"
 I lost an earring at work..... Im hoping I find it,hopeful,"Customer :I lost an earring at work..... Im hoping I find it
Agent :"
 I lost an earring at work..... Im hoping I find it,hopeful,"Customer :Not really, I just really liked them
Agent :"
 I lost an earring at work..... Im hoping I find it,hopeful,"Customer :was it an expensive one?
Agent :"
I don't want to go on this date.,apprehensive,"Customer :I don't want to go on this Tinder date. Nothing good will come of it.
Agent :"
